,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
4285,61,Private,163729.0,HS-grad,9.0,Divorced,Machine-op-inspct,Not-in-family,White,Female,0.0,0.0,40.0,United-States,0
9464,40,Private,343068.0,Masters,14.0,Never-married,Prof-specialty,Not-in-family,White,Female,0.0,0.0,55.0,United-States,0
5295,53,Private,81794.0,HS-grad,9.0,Married-civ-spouse,Sales,Wife,White,Female,0.0,0.0,40.0,United-States,0
8408,36,Private,167482.0,Some-college,10.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,1
8930,31,Private,257148.0,Bachelors,13.0,Widowed,Prof-specialty,Own-child,White,Male,0.0,0.0,35.0,United-States,0
4744,64,Private,260082.0,1st-4th,2.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,40.0,Cuba,0
5479,18,Private,151747.0,11th,7.0,Never-married,Other-service,Own-child,White,Male,0.0,0.0,40.0,United-States,0
13485,33,Private,251117.0,5th-6th,3.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,40.0,Mexico,0
6280,39,Private,103734.0,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,43.0,United-States,1
12420,50,Private,81253.0,HS-grad,9.0,Married-civ-spouse,Other-service,Wife,Asian-Pac-Islander,Female,0.0,0.0,30.0,United-States,0
11756,24,Private,215890.0,HS-grad,9.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,40.0,United-States,0
4941,29,Private,121040.0,Assoc-voc,11.0,Separated,Adm-clerical,Unmarried,Black,Female,0.0,0.0,40.0,United-States,0
5978,18,Private,302712.0,HS-grad,9.0,Never-married,Other-service,Not-in-family,White,Female,0.0,0.0,35.0,United-States,0
10541,60,Private,304074.0,Some-college,10.0,Widowed,Transport-moving,Not-in-family,White,Male,0.0,0.0,28.0,United-States,0
11482,20,Private,221955.0,5th-6th,3.0,Never-married,Craft-repair,Other-relative,White,Male,0.0,0.0,40.0,Mexico,0
11774,18,Private,110230.0,11th,7.0,Never-married,Handlers-cleaners,Own-child,White,Male,0.0,0.0,5.0,United-States,0
15786,53,Private,380086.0,HS-grad,9.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688.0,0.0,48.0,United-States,1
15270,57,Private,178154.0,10th,6.0,Widowed,Transport-moving,Not-in-family,White,Male,0.0,0.0,40.0,United-States,0
5499,64,Private,77884.0,Assoc-voc,11.0,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,0.0,0.0,40.0,Philippines,0
1695,40,Private,119008.0,HS-grad,9.0,Separated,Other-service,Unmarried,Black,Female,0.0,0.0,40.0,United-States,0
4218,46,Private,278200.0,HS-grad,9.0,Married-civ-spouse,Other-service,Husband,White,Male,0.0,0.0,40.0,United-States,0
6901,57,Private,56080.0,HS-grad,9.0,Married-civ-spouse,Other-service,Husband,White,Male,0.0,0.0,60.0,United-States,0
13053,29,Private,113635.0,HS-grad,9.0,Never-married,Craft-repair,Own-child,White,Male,0.0,0.0,40.0,United-States,0
911,38,Private,172918.0,HS-grad,9.0,Never-married,Machine-op-inspct,Own-child,White,Male,0.0,0.0,40.0,United-States,0
3539,59,Private,153484.0,Some-college,10.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,1
13649,36,Private,150104.0,Masters,14.0,Married-civ-spouse,Prof-specialty,Wife,White,Female,0.0,0.0,40.0,United-States,1
5273,31,Federal-gov,180656.0,HS-grad,9.0,Never-married,Adm-clerical,Own-child,White,Male,0.0,0.0,35.0,United-States,0
86,43,Private,170482.0,HS-grad,9.0,Separated,Machine-op-inspct,Not-in-family,White,Female,0.0,0.0,44.0,United-States,0
11377,28,Private,171356.0,Some-college,10.0,Never-married,Sales,Own-child,White,Male,0.0,0.0,55.0,United-States,0
3397,46,Private,233493.0,HS-grad,9.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,1579.0,40.0,United-States,0
10482,22,State-gov,211049.0,Some-college,10.0,Never-married,Sales,Own-child,White,Female,0.0,0.0,12.0,United-States,0
2016,43,Private,207392.0,Some-college,10.0,Married-civ-spouse,Transport-moving,Husband,White,Male,3103.0,0.0,70.0,United-States,1
2706,37,Private,188279.0,HS-grad,9.0,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Male,0.0,0.0,40.0,Thailand,0
5959,33,Private,219553.0,Assoc-acdm,12.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,50.0,United-States,0
11958,48,Private,178313.0,HS-grad,9.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,60.0,United-States,0
1055,38,Private,303092.0,HS-grad,9.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,United-States,0
10479,48,Private,187715.0,Assoc-acdm,12.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,1848.0,46.0,United-States,1
3226,39,Local-gov,131239.0,Masters,14.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States,0
12556,47,Self-emp-not-inc,177533.0,Some-college,10.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,0
9573,54,Private,259323.0,Some-college,10.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States,1
6850,57,Private,47178.0,5th-6th,3.0,Divorced,Other-service,Not-in-family,White,Female,0.0,0.0,40.0,United-States,0
10773,51,Self-emp-not-inc,321865.0,Some-college,10.0,Married-civ-spouse,Other-service,Husband,White,Male,0.0,0.0,99.0,United-States,0
12534,41,Private,173307.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,1
15595,45,Self-emp-not-inc,240786.0,Bachelors,13.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,1
15677,26,Private,231638.0,Masters,14.0,Never-married,Prof-specialty,Not-in-family,White,Female,0.0,0.0,40.0,United-States,0
8303,59,Federal-gov,51662.0,HS-grad,9.0,Widowed,Adm-clerical,Unmarried,White,Female,0.0,0.0,40.0,United-States,0
14144,53,Private,177727.0,Some-college,10.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,50.0,United-States,1
190,22,Private,199266.0,HS-grad,9.0,Never-married,Other-service,Not-in-family,White,Female,0.0,0.0,45.0,United-States,0
5960,53,Private,290882.0,7th-8th,4.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,40.0,Mexico,0
14341,39,Self-emp-not-inc,222204.0,Some-college,10.0,Divorced,Other-service,Not-in-family,White,Female,3325.0,0.0,40.0,United-States,0
3275,56,Private,178282.0,HS-grad,9.0,Widowed,Craft-repair,Unmarried,White,Male,0.0,0.0,40.0,United-States,0
10787,45,Private,174794.0,Some-college,10.0,Divorced,Priv-house-serv,Not-in-family,White,Female,0.0,0.0,29.0,United-States,0
8616,27,Private,200610.0,HS-grad,9.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,2580.0,0.0,40.0,United-States,0
13294,44,Federal-gov,32000.0,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,45.0,United-States,1
6706,28,Private,70240.0,Masters,14.0,Never-married,Sales,Own-child,Asian-Pac-Islander,Female,0.0,0.0,36.0,Philippines,0
14162,22,Private,138994.0,HS-grad,9.0,Never-married,Sales,Own-child,Asian-Pac-Islander,Female,0.0,0.0,40.0,Vietnam,0
9695,39,Private,531055.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,1
10701,38,Self-emp-not-inc,154641.0,HS-grad,9.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,50.0,United-States,0
6686,36,Private,104772.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,1
10895,19,Private,162954.0,HS-grad,9.0,Never-married,Sales,Own-child,White,Female,0.0,0.0,30.0,United-States,0
5607,49,Private,186256.0,Some-college,10.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,5013.0,0.0,30.0,United-States,0
1293,36,Private,184655.0,HS-grad,9.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,40.0,United-States,0
15875,36,Private,174242.0,Prof-school,15.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,7298.0,0.0,50.0,United-States,1
1283,19,Private,291181.0,9th,5.0,Never-married,Other-service,Own-child,White,Female,0.0,0.0,50.0,Mexico,0
15869,64,Private,285610.0,11th,7.0,Divorced,Machine-op-inspct,Not-in-family,White,Female,0.0,0.0,40.0,United-States,0
12203,29,Private,133937.0,HS-grad,9.0,Never-married,Handlers-cleaners,Own-child,White,Male,0.0,0.0,30.0,United-States,0
6133,49,Private,239625.0,Masters,14.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,United-States,1
