,Unnamed: 0,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
0,0,61,0.0,163729.0,3.0,9.0,1.0,7.0,3.0,0.0,1.0,0.0,0.0,40.0,0.0
1,1,40,0.0,343068.0,10.0,14.0,2.0,5.0,3.0,0.0,1.0,0.0,0.0,55.0,0.0
2,2,53,0.0,81794.0,3.0,9.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,40.0,0.0
3,3,36,0.0,167482.0,1.0,10.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,40.0,0.0
4,4,31,0.0,257148.0,0.0,13.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,35.0,0.0
5,5,64,0.0,260082.0,11.0,2.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,40.0,12.0
6,6,18,0.0,151747.0,2.0,7.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,40.0,0.0
7,7,33,0.0,251117.0,14.0,3.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,40.0,20.0
8,8,39,0.0,103734.0,0.0,13.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,43.0,0.0
9,9,50,0.0,81253.0,3.0,9.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,30.0,0.0
10,10,24,0.0,215890.0,3.0,9.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,40.0,0.0
11,11,29,0.0,121040.0,6.0,11.0,3.0,8.0,5.0,4.0,1.0,0.0,0.0,40.0,0.0
12,12,18,0.0,302712.0,3.0,9.0,2.0,2.0,3.0,0.0,1.0,0.0,0.0,35.0,0.0
13,13,60,0.0,304074.0,1.0,10.0,4.0,10.0,3.0,0.0,0.0,0.0,0.0,28.0,0.0
14,14,20,0.0,221955.0,14.0,3.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,40.0,20.0
15,15,18,0.0,110230.0,2.0,7.0,2.0,6.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0
16,16,53,0.0,380086.0,3.0,9.0,0.0,4.0,2.0,0.0,0.0,7688.0,0.0,48.0,0.0
17,17,57,0.0,178154.0,12.0,6.0,4.0,10.0,3.0,0.0,0.0,0.0,0.0,40.0,0.0
18,18,64,0.0,77884.0,6.0,11.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,40.0,15.0
19,19,40,0.0,119008.0,3.0,9.0,3.0,2.0,5.0,4.0,1.0,0.0,0.0,40.0,0.0
20,20,46,0.0,278200.0,3.0,9.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,40.0,0.0
21,21,57,0.0,56080.0,3.0,9.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,60.0,0.0
22,22,29,0.0,113635.0,3.0,9.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,40.0,0.0
23,23,38,0.0,172918.0,3.0,9.0,2.0,7.0,1.0,0.0,0.0,0.0,0.0,40.0,0.0
24,24,59,0.0,153484.0,1.0,10.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,40.0,0.0
25,25,36,0.0,150104.0,10.0,14.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,40.0,0.0
26,26,31,3.0,180656.0,3.0,9.0,2.0,8.0,1.0,0.0,0.0,0.0,0.0,35.0,0.0
27,27,43,0.0,170482.0,3.0,9.0,3.0,7.0,3.0,0.0,1.0,0.0,0.0,44.0,0.0
28,28,28,0.0,171356.0,1.0,10.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,55.0,0.0
29,29,46,0.0,233493.0,3.0,9.0,0.0,7.0,2.0,0.0,0.0,0.0,1579.0,40.0,0.0
30,30,22,5.0,211049.0,1.0,10.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,12.0,0.0
31,31,43,0.0,207392.0,1.0,10.0,0.0,10.0,2.0,0.0,0.0,3103.0,0.0,70.0,0.0
32,32,37,0.0,188279.0,3.0,9.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,40.0,34.0
33,33,33,0.0,219553.0,5.0,12.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,50.0,0.0
34,34,48,0.0,178313.0,3.0,9.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,60.0,0.0
35,35,38,0.0,303092.0,3.0,9.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,40.0,0.0
36,36,48,0.0,187715.0,5.0,12.0,0.0,1.0,2.0,0.0,0.0,0.0,1848.0,46.0,0.0
37,37,39,4.0,131239.0,10.0,14.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,40.0,0.0
38,38,47,1.0,177533.0,1.0,10.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,40.0,0.0
39,39,54,0.0,259323.0,1.0,10.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,40.0,0.0
40,40,57,0.0,47178.0,14.0,3.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,40.0,0.0
41,41,51,1.0,321865.0,1.0,10.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,99.0,0.0
42,42,41,0.0,173307.0,3.0,9.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,40.0,0.0
43,43,45,1.0,240786.0,0.0,13.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,40.0,0.0
44,44,26,0.0,231638.0,10.0,14.0,2.0,5.0,3.0,0.0,1.0,0.0,0.0,40.0,0.0
45,45,59,3.0,51662.0,3.0,9.0,4.0,8.0,5.0,0.0,1.0,0.0,0.0,40.0,0.0
46,46,53,0.0,177727.0,1.0,10.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,50.0,0.0
47,47,22,0.0,199266.0,3.0,9.0,2.0,2.0,3.0,0.0,1.0,0.0,0.0,45.0,0.0
48,48,53,0.0,290882.0,8.0,4.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,40.0,20.0
49,49,39,1.0,222204.0,1.0,10.0,1.0,2.0,3.0,0.0,1.0,3325.0,0.0,40.0,0.0
50,50,56,0.0,178282.0,3.0,9.0,4.0,1.0,5.0,0.0,0.0,0.0,0.0,40.0,0.0
51,51,45,0.0,174794.0,1.0,10.0,1.0,11.0,3.0,0.0,1.0,0.0,0.0,29.0,0.0
52,52,27,0.0,200610.0,3.0,9.0,0.0,7.0,2.0,0.0,0.0,2580.0,0.0,40.0,0.0
53,53,44,3.0,32000.0,0.0,13.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,45.0,0.0
54,54,28,0.0,70240.0,10.0,14.0,2.0,3.0,1.0,1.0,1.0,0.0,0.0,36.0,15.0
55,55,22,0.0,138994.0,3.0,9.0,2.0,3.0,1.0,1.0,1.0,0.0,0.0,40.0,19.0
56,56,39,0.0,531055.0,3.0,9.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,40.0,0.0
57,57,38,1.0,154641.0,3.0,9.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,50.0,0.0
58,58,36,0.0,104772.0,3.0,9.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,40.0,0.0
59,59,19,0.0,162954.0,3.0,9.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,30.0,0.0
60,60,49,0.0,186256.0,1.0,10.0,0.0,5.0,2.0,0.0,0.0,5013.0,0.0,30.0,0.0
61,61,36,0.0,184655.0,3.0,9.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,40.0,0.0
62,62,36,0.0,174242.0,4.0,15.0,0.0,5.0,2.0,0.0,0.0,7298.0,0.0,50.0,0.0
63,63,19,0.0,291181.0,7.0,5.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,50.0,20.0
64,64,64,0.0,285610.0,2.0,7.0,1.0,7.0,3.0,0.0,1.0,0.0,0.0,40.0,0.0
65,65,29,0.0,133937.0,3.0,9.0,2.0,6.0,1.0,0.0,0.0,0.0,0.0,30.0,0.0
66,66,49,0.0,239625.0,10.0,14.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,40.0,0.0
67,67,31,0.0,152109.0,3.0,9.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,50.0,0.0
68,68,56,0.0,59469.0,8.0,4.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,40.0,4.0
69,69,44,0.0,346081.0,3.0,9.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0,40.0,0.0
70,70,19,0.0,44047.0,3.0,9.0,2.0,7.0,3.0,0.0,0.0,0.0,0.0,40.0,0.0
71,71,38,0.0,203717.0,0.0,13.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,60.0,0.0
72,72,24,0.0,278391.0,5.0,12.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,30.0,0.0
73,73,18,0.0,150817.0,9.0,8.0,2.0,12.0,1.0,0.0,1.0,0.0,0.0,45.0,0.0
74,74,39,0.0,181384.0,5.0,12.0,2.0,8.0,3.0,0.0,0.0,0.0,0.0,20.0,0.0
75,75,51,5.0,196395.0,3.0,9.0,0.0,5.0,2.0,4.0,0.0,0.0,0.0,60.0,0.0
76,76,37,0.0,410034.0,1.0,10.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,40.0,0.0
77,77,31,0.0,187560.0,1.0,10.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,40.0,0.0
78,78,48,0.0,213140.0,5.0,12.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,60.0,0.0
79,79,35,0.0,203482.0,7.0,5.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,40.0,0.0
80,80,34,0.0,193132.0,3.0,9.0,1.0,7.0,3.0,0.0,1.0,0.0,0.0,50.0,0.0
81,81,68,1.0,35468.0,10.0,14.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,24.0,0.0
82,82,47,1.0,178319.0,4.0,15.0,0.0,5.0,2.0,0.0,0.0,0.0,1902.0,42.0,0.0
83,83,37,0.0,94331.0,9.0,8.0,1.0,7.0,5.0,0.0,1.0,0.0,0.0,40.0,0.0
84,84,36,4.0,379672.0,6.0,11.0,1.0,4.0,5.0,0.0,1.0,0.0,0.0,60.0,0.0
85,85,28,0.0,145242.0,0.0,13.0,0.0,5.0,0.0,0.0,1.0,4386.0,0.0,20.0,0.0
86,86,40,0.0,196344.0,3.0,9.0,0.0,1.0,2.0,0.0,0.0,0.0,1887.0,45.0,0.0
87,87,37,0.0,196373.0,3.0,9.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,40.0,0.0
88,88,41,0.0,230931.0,3.0,9.0,2.0,2.0,5.0,0.0,1.0,0.0,0.0,40.0,3.0
89,89,37,1.0,334291.0,0.0,13.0,1.0,10.0,3.0,0.0,0.0,0.0,0.0,50.0,0.0
90,90,22,0.0,384787.0,7.0,5.0,2.0,3.0,4.0,0.0,1.0,0.0,0.0,40.0,20.0
91,91,31,0.0,230912.0,1.0,10.0,2.0,8.0,3.0,0.0,1.0,0.0,0.0,55.0,0.0
92,92,32,0.0,206609.0,3.0,9.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,40.0,0.0
93,93,46,0.0,409443.0,14.0,3.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,25.0,20.0
94,94,41,0.0,201908.0,10.0,14.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,20.0,0.0
95,95,55,0.0,335276.0,1.0,10.0,2.0,8.0,1.0,0.0,1.0,0.0,0.0,40.0,0.0
96,96,58,5.0,138130.0,3.0,9.0,2.0,0.0,1.0,4.0,1.0,0.0,0.0,40.0,0.0
97,97,44,0.0,214781.0,10.0,14.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,45.0,0.0
98,98,42,0.0,188243.0,0.0,13.0,1.0,4.0,3.0,0.0,1.0,0.0,0.0,50.0,0.0
99,99,27,0.0,309196.0,5.0,12.0,2.0,4.0,3.0,0.0,1.0,0.0,0.0,40.0,0.0
100,100,32,0.0,176185.0,3.0,9.0,2.0,1.0,3.0,0.0,0.0,4787.0,0.0,40.0,0.0
101,101,53,0.0,173754.0,3.0,9.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,40.0,0.0
102,102,37,4.0,185556.0,3.0,9.0,3.0,12.0,3.0,0.0,0.0,0.0,1980.0,35.0,0.0
103,103,50,0.0,155433.0,0.0,13.0,1.0,4.0,3.0,0.0,1.0,0.0,0.0,50.0,0.0
104,104,35,0.0,129573.0,0.0,13.0,0.0,3.0,2.0,0.0,0.0,15024.0,0.0,45.0,0.0
105,105,36,4.0,126569.0,0.0,13.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,40.0,0.0
106,106,19,0.0,78401.0,3.0,9.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,40.0,0.0
107,107,45,0.0,201699.0,1.0,10.0,0.0,10.0,2.0,0.0,0.0,0.0,1628.0,40.0,0.0
108,108,33,0.0,245211.0,0.0,13.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,40.0,0.0
109,109,30,0.0,215182.0,0.0,13.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,40.0,0.0
110,110,51,0.0,207246.0,1.0,10.0,0.0,8.0,0.0,0.0,1.0,0.0,1902.0,40.0,0.0
111,111,59,0.0,70796.0,3.0,9.0,0.0,11.0,0.0,4.0,1.0,0.0,0.0,15.0,0.0
112,112,54,0.0,133403.0,7.0,5.0,0.0,7.0,2.0,0.0,0.0,0.0,1902.0,35.0,0.0
113,113,31,0.0,37939.0,1.0,10.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,43.0,0.0
114,114,26,0.0,66692.0,1.0,10.0,1.0,8.0,3.0,0.0,1.0,0.0,0.0,40.0,0.0
115,115,36,0.0,149653.0,3.0,9.0,1.0,2.0,5.0,0.0,1.0,0.0,0.0,40.0,0.0
116,116,50,0.0,145033.0,4.0,15.0,0.0,5.0,2.0,0.0,0.0,0.0,2415.0,60.0,0.0
117,117,48,0.0,210369.0,3.0,9.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,40.0,0.0
118,118,26,0.0,284078.0,1.0,10.0,2.0,10.0,3.0,0.0,0.0,2354.0,0.0,40.0,0.0
119,119,39,0.0,57691.0,3.0,9.0,3.0,4.0,3.0,0.0,0.0,0.0,2258.0,70.0,0.0
120,120,42,0.0,112507.0,9.0,8.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,30.0,0.0
121,121,28,0.0,101774.0,1.0,10.0,0.0,4.0,2.0,0.0,0.0,0.0,1848.0,50.0,0.0
122,122,56,0.0,133876.0,0.0,13.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,40.0,0.0
123,123,45,0.0,180010.0,3.0,9.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,40.0,0.0
124,124,37,0.0,293475.0,5.0,12.0,2.0,5.0,3.0,0.0,1.0,0.0,0.0,40.0,0.0
125,125,42,0.0,144594.0,3.0,9.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,40.0,0.0
126,126,34,0.0,152493.0,3.0,9.0,1.0,10.0,5.0,0.0,0.0,0.0,0.0,60.0,0.0
127,127,26,3.0,56419.0,4.0,15.0,2.0,5.0,3.0,1.0,1.0,0.0,0.0,20.0,10.0
128,128,50,0.0,312477.0,3.0,9.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,40.0,0.0
129,129,35,0.0,187167.0,3.0,9.0,2.0,8.0,5.0,0.0,1.0,0.0,0.0,40.0,0.0
130,130,32,1.0,295010.0,1.0,10.0,3.0,2.0,5.0,0.0,1.0,0.0,0.0,40.0,0.0
131,131,53,3.0,109982.0,1.0,10.0,1.0,8.0,3.0,0.0,1.0,0.0,0.0,40.0,0.0
132,132,29,0.0,214689.0,0.0,13.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,40.0,0.0
133,133,30,0.0,159323.0,1.0,10.0,1.0,3.0,5.0,0.0,1.0,0.0,0.0,65.0,4.0
