,Unnamed: 0,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
0,0,21,0,148444,1,10,2,3,1,0,1,0,0,25,0
1,1,19,0,171306,3,9,2,3,1,0,0,0,0,3,0
2,2,55,0,127014,3,9,0,2,2,0,0,0,0,60,0
3,3,57,3,192258,1,10,1,8,1,0,0,0,0,40,0
4,4,40,0,128700,1,10,1,8,5,0,1,0,0,40,0
5,5,32,0,143604,3,9,1,2,3,4,1,0,0,16,0
6,6,31,0,51471,3,9,1,8,5,0,1,0,0,38,0
7,7,23,0,227594,0,13,2,5,1,0,1,0,0,38,0
8,8,47,4,97419,0,13,1,5,3,4,1,0,0,40,0
9,9,31,1,340880,0,13,0,3,2,0,0,0,0,48,0
10,10,23,0,330571,0,13,2,8,1,0,1,0,0,25,0
11,11,53,0,151580,1,10,0,5,2,0,0,15024,0,40,0
12,12,34,0,185216,1,10,2,8,1,0,0,0,0,40,0
13,13,23,0,34113,3,9,0,1,2,0,0,0,0,45,0
14,14,59,0,314149,6,11,0,3,2,0,0,0,1740,50,0
15,15,38,0,64875,1,10,2,9,5,0,0,0,0,60,0
16,16,25,1,37741,0,13,0,4,0,0,1,0,0,40,0
17,17,38,0,64879,1,10,1,3,3,0,1,0,0,40,0
18,18,39,0,409189,14,3,0,2,2,0,0,0,0,40,20
19,19,27,0,381789,9,8,0,9,1,0,0,0,0,55,0
20,20,36,0,93225,0,13,2,1,3,0,0,0,0,35,0
21,21,61,0,149981,3,9,0,8,0,0,1,2414,0,5,0
22,22,41,5,47902,0,13,0,8,2,0,0,0,0,50,0
23,23,21,0,306114,1,10,2,8,1,0,0,0,0,20,0
24,24,48,0,287480,10,14,0,0,2,0,0,0,0,40,0
25,25,49,2,38819,0,13,0,3,2,0,0,0,0,50,0
26,26,61,4,176753,3,9,0,9,2,0,0,0,0,48,0
27,27,28,4,220754,3,9,3,10,1,0,1,0,0,25,0
28,28,24,0,275395,3,9,0,7,2,0,0,0,0,50,0
29,29,38,0,26698,3,9,0,0,2,0,0,0,0,40,0
30,30,63,0,106023,3,9,0,1,2,0,0,0,0,40,0
31,31,57,0,199934,0,13,0,4,2,0,0,0,0,40,0
32,32,49,4,349633,10,14,0,5,0,0,1,0,0,50,0
33,33,19,0,86860,1,10,2,4,1,0,0,0,0,15,0
34,34,49,5,118567,1,10,0,9,2,0,0,0,0,40,0
35,35,52,4,100226,0,13,0,8,0,0,1,0,0,40,0
36,36,33,0,168981,6,11,2,5,5,0,1,0,0,55,0
37,37,30,0,219838,9,8,1,7,3,0,0,0,0,40,0
38,38,32,0,373263,3,9,0,4,0,0,1,0,0,40,0
39,39,19,0,67759,3,9,2,7,1,0,0,0,0,43,0
40,40,23,0,257621,0,13,2,3,3,0,1,0,0,45,0
41,41,39,4,43702,6,11,0,8,0,0,1,0,0,37,0
42,42,64,0,180624,5,12,2,5,4,0,1,0,0,30,0
43,43,33,0,201988,10,14,0,5,2,0,0,0,0,45,0
44,44,47,0,128796,3,9,0,1,2,0,0,0,0,40,0
45,45,50,0,113290,3,9,0,3,0,0,1,0,0,15,0
46,46,33,0,119913,6,11,0,5,2,0,0,0,0,40,0
47,47,58,1,195835,1,10,1,1,3,0,0,0,0,45,0
48,48,29,0,99369,0,13,2,5,3,3,1,0,0,50,0
49,49,29,0,289960,3,9,0,7,2,0,0,0,0,48,0
50,50,42,0,104647,3,9,1,2,3,0,0,0,0,40,0
51,51,32,2,343872,1,10,0,10,2,4,0,0,0,35,28
52,52,49,0,371299,3,9,2,8,5,0,1,0,0,35,0
53,53,31,4,47276,0,13,0,2,2,0,0,0,0,38,0
54,54,24,0,48343,2,7,2,2,3,4,1,0,0,40,0
55,55,29,0,81648,3,9,0,3,2,0,0,0,1887,55,0
56,56,32,5,167049,9,8,2,8,5,0,1,0,0,40,0
57,57,50,0,184424,1,10,0,8,0,0,1,0,1902,38,0
58,58,20,0,386864,12,6,2,2,4,0,0,0,0,35,20
59,59,29,1,266855,0,13,3,5,1,0,0,0,0,40,0
60,60,35,0,166193,3,9,1,7,1,0,0,0,0,40,0
61,61,49,0,194962,2,7,0,2,0,0,1,0,0,6,0
62,62,33,0,182246,3,9,2,5,3,0,0,0,0,40,0
63,63,19,0,214678,3,9,2,2,1,0,0,0,0,30,0
64,64,32,1,174789,0,13,0,5,2,0,0,0,0,50,0
65,65,42,0,202565,11,2,0,7,2,0,0,0,0,40,16
66,66,39,0,186183,3,9,0,1,2,0,0,0,0,40,0
67,67,70,0,94692,0,13,0,3,2,0,0,0,0,70,0
68,68,36,0,144169,3,9,0,1,2,0,0,0,0,50,0
69,69,21,0,224640,1,10,2,3,1,0,1,0,0,40,0
70,70,41,0,116825,10,14,0,5,2,0,0,0,0,55,0
71,71,28,0,210945,5,12,0,8,0,4,1,0,0,35,28
72,72,44,1,27242,1,10,2,9,1,0,0,0,0,60,0
73,73,25,0,41526,0,13,2,1,1,0,0,0,0,30,4
74,74,50,0,177487,3,9,0,1,2,0,0,0,0,40,0
75,75,68,0,75913,9,8,4,3,3,0,1,0,0,30,0
76,76,48,0,332465,0,13,0,5,2,0,0,0,0,35,0
77,77,20,0,168165,1,10,2,2,1,0,0,0,0,30,0
78,78,40,0,215596,0,13,5,2,3,3,0,0,0,40,20
79,79,36,0,106964,3,9,0,7,2,0,0,0,0,40,0
80,80,23,0,120910,3,9,2,2,5,0,1,0,0,35,0
81,81,54,0,144586,1,10,0,3,0,0,1,0,0,40,0
82,82,73,5,74040,8,4,1,2,3,1,1,0,0,40,0
83,83,22,0,192017,3,9,2,8,1,0,0,0,0,40,0
84,84,36,5,194630,3,9,4,4,3,0,1,0,0,40,0
85,85,51,0,138251,3,9,0,10,2,0,0,0,0,60,0
86,86,20,0,105585,1,10,2,3,1,0,0,0,0,25,0
87,87,36,0,163237,5,12,0,8,2,0,0,0,0,40,0
88,88,20,0,238685,1,10,2,2,3,0,1,0,0,32,0
89,89,29,0,88432,6,11,0,1,2,0,0,0,0,50,0
